timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
261172,20.03,0.363403,-0.684937,-0.216431,24.841309,27.770996,37.048340,0.805011,52.544251
261192,43.73,0.372070,-0.714233,-0.213989,43.762207,31.555176,34.118652,0.833281,63.835275
261212,59.06,0.422119,-0.763916,-0.250000,36.132812,33.386230,30.151367,0.907883,57.700307
261232,83.03,0.498535,-0.732300,-0.316650,5.187988,33.691406,25.390625,0.940780,42.505410
261252,103.73,0.505615,-1.149902,-3.823608,-36.376953,-3.784180,20.812988,4.024662,42.080675
261272,122.49,0.375732,-0.216553,-0.259644,-0.976562,-34.362793,9.216309,0.505455,35.590667
261292,144.11,0.426636,-0.500854,-0.142090,22.705078,-12.756348,6.042480,0.673099,26.734931
261312,163.97,0.495483,-0.649902,-0.192871,-34.179688,-9.704590,6.713867,0.839688,36.159454
261332,184.31,0.417114,-0.736694,-0.383179,-35.400391,-7.324219,9.338379,0.929262,37.336807
261352,204.05,0.487305,-0.785156,-0.259155,-7.446289,-0.122070,8.483887,0.959738,11.288864
261372,223.37,0.414062,-0.822876,-0.265503,-8.728027,2.929688,12.512207,0.958678,15.534377
261392,243.20,0.450439,-0.846802,-0.375977,-6.164551,5.554199,16.235352,1.030207,18.232867
261412,259.96,0.368530,-0.945312,-0.287598,9.643555,9.277344,17.272949,1.054582,21.849989
261432,272.62,0.387695,-0.893921,-0.637451,25.268555,3.295898,25.817871,1.164365,36.275684
261452,304.43,0.499634,-0.801392,-0.670654,33.935547,-5.126953,30.151367,1.158292,45.683826
261472,324.08,0.533325,-0.596924,-0.559326,27.648926,-14.160156,24.902344,0.976524,39.813312
261492,335.84,0.526123,-0.539551,-0.376587,22.583008,-18.554688,16.296387,0.842460,33.464024
261512,359.47,0.505859,-0.618164,-0.050415,19.958496,-17.578125,1.464844,0.800351,26.636025
261532,384.08,0.507446,-0.764771,0.118286,13.488770,-10.009766,-2.563477,0.925401,16.991578
261552,403.71,0.462646,-0.849365,0.167114,-8.239746,5.493164,-3.723145,0.981524,10.579701
261572,416.15,0.427612,-0.794922,0.181396,-9.338379,17.395020,-0.427246,0.920683,19.747774
261592,431.85,0.425537,-0.777954,0.158813,8.850098,44.616699,3.234863,0.900842,45.600860
261612,463.52,0.392578,-0.757812,0.068481,14.221191,47.180176,3.784180,0.856205,49.421972
261632,479.22,0.388062,-0.768555,-0.130249,3.112793,57.983398,2.014160,0.870766,58.101814
261652,495.14,0.997803,-0.336548,-0.141113,-30.822754,-3.356934,11.169434,1.062444,32.955537
261672,511.34,0.316772,-0.152344,-0.880127,-15.258789,-41.748047,-7.385254,0.947722,45.058540
261692,543.33,0.474243,-0.676758,-0.828979,3.356934,-16.967773,-4.028320,1.170519,17.759552
261712,559.36,0.419189,-0.744995,-0.763184,-2.990723,-31.799316,0.915527,1.145944,31.952764
261732,582.88,0.386719,-0.854004,-0.596191,12.390137,-39.733887,12.573242,1.110999,43.478543
261752,600.33,0.355591,-0.808350,-0.161621,3.295898,-38.330078,13.305664,0.897772,40.707475
261772,622.78,0.360474,-0.647217,0.177856,1.770020,-31.311035,11.352539,0.761882,33.352572
261792,642.09,0.394287,-0.546265,0.519531,-12.329102,-2.441406,1.708984,0.850753,12.684157
261812,654.56,0.328003,-0.501465,0.543091,-17.395020,23.742676,-6.042480,0.808703,30.046846
261832,684.44,0.321899,-0.630371,0.331055,-10.864258,48.950195,-13.305664,0.781399,51.876723
261852,704.23,0.252075,-0.809204,-0.162354,4.821777,71.838379,-13.610840,0.862967,73.275215
261872,724.01,0.839722,-2.033813,-3.999512,10.620117,72.326660,-7.080078,4.564825,73.444266
261892,743.73,-0.039673,-0.763672,-0.811035,-26.794434,-25.268555,-16.845703,1.114696,40.499620
261912,763.85,0.341309,-1.529785,-0.582886,37.048340,-17.700195,10.437012,1.672271,42.365170
261932,783.12,0.410645,-1.298828,-0.298584,16.418457,-28.381348,8.117676,1.394538,33.778148
261952,803.71,0.443237,-0.818359,-0.211060,8.483887,-24.658203,3.906250,0.954315,26.367823
261972,823.49,0.490723,-0.802124,0.153687,-3.601074,-18.859863,-5.676270,0.952802,20.022043
261992,831.43,0.445068,-0.806396,0.419067,-0.610352,-5.798340,-9.033203,1.011918,10.751374
