timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
131912,15.88,0.432739,-0.073608,-0.917603,24.169922,-144.104004,24.108887,1.017190,148.092496
131932,47.64,0.491089,0.095459,-0.257812,21.484375,-158.264160,28.869629,0.562804,162.303969
131952,63.43,0.466675,0.187622,0.186035,19.958496,-155.334473,29.296875,0.536280,159.328111
131973,84.33,0.672119,0.262695,0.613892,9.826660,-123.657227,24.658203,0.947426,126.474108
131992,94.90,0.696899,0.298096,0.837891,-16.357422,-87.463379,20.202637,1.129863,91.244476
132012,126.43,0.777954,0.450684,1.003174,-32.775879,-17.089844,7.507324,1.347103,37.718443
132032,142.17,0.787842,0.328247,0.845093,-22.705078,33.142090,-3.540039,1.201092,40.329277
132053,157.92,0.734009,0.266968,0.598022,-13.244629,103.576660,-22.094727,0.983703,106.732009
132072,184.33,0.756958,0.070435,-0.160522,-19.287109,135.742188,-33.752441,0.776990,141.199013
132092,205.75,0.790405,-0.167480,-0.885498,-29.602051,153.015137,-43.518066,1.198706,161.813892
132112,221.42,0.746948,-0.459229,-1.549194,-108.825684,104.064941,-37.414551,1.780120,155.152796
132133,237.10,0.962158,-0.401733,-1.918701,-92.529297,35.339355,-25.207520,2.183702,102.205479
132153,268.56,0.899048,-0.362915,-1.537842,-27.160645,-56.518555,2.441406,1.817953,62.753550
132173,284.46,0.762329,-0.237671,-0.977661,-2.868652,-98.022461,15.075684,1.262321,99.216472
132193,300.11,0.737549,-0.110596,-0.389771,-3.173828,-117.309570,19.653320,0.841505,118.986812
132213,315.75,0.762085,0.130737,0.347534,6.958008,-104.064941,16.418457,0.847730,105.581682
132233,347.30,0.840332,0.168335,0.691650,27.832031,-74.279785,10.925293,1.101306,80.071658
132253,363.24,0.791138,0.202393,0.867188,10.131836,-9.765625,5.065918,1.191166,14.956104
132273,384.39,0.752563,0.221313,0.801636,4.638672,35.400391,1.037598,1.121584,35.718084
132293,404.91,0.843750,0.101318,0.389771,21.057129,99.182129,-6.347656,0.934933,101.591290
132313,428.77,0.894287,-0.180420,-0.465088,-3.479004,128.234863,-12.817383,1.024015,128.920785
132333,442.59,0.542603,-0.151978,-0.956421,-77.026367,125.000000,-14.160156,1.110070,147.507868
132353,458.29,0.856079,-0.241699,-1.598755,-39.672852,48.767090,-6.225586,1.829565,63.173746
132373,489.79,0.867065,-0.271973,-1.555664,12.573242,-5.432129,6.286621,1.801628,15.070370
132393,505.84,0.765259,-0.269165,-0.927368,16.540527,-69.213867,21.362305,1.232105,74.300044
132413,529.79,0.706055,-0.058594,-0.463135,5.371094,-91.491699,21.545410,0.846428,94.147673
