timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
37831,21.38,0.778320,-0.084961,-0.730225,-9.094238,75.073242,-27.526855,1.070621,80.476236
37851,47.46,0.854492,-0.324951,-1.027100,-5.676270,50.842285,-16.784668,1.375021,53.841277
37871,63.35,0.900146,-0.322632,-1.052612,-10.437012,5.126953,1.586914,1.422093,11.736062
37891,89.17,0.862915,-0.181396,-0.723267,-7.202148,-14.831543,11.474609,1.140457,20.087615
37911,98.69,0.829224,-0.046143,-0.428467,2.441406,-26.977539,16.540527,0.934518,31.738575
37931,126.56,0.806763,0.056763,-0.023804,7.507324,-22.216797,16.052246,0.809107,28.418666
37951,142.53,0.824097,0.089722,0.113159,2.685547,-6.835938,10.925293,0.836654,13.164506
37971,158.52,0.922119,0.074341,-0.007568,-8.666992,26.489258,-0.610352,0.925142,27.877770
37991,174.53,0.858154,0.005127,-0.383789,-13.122559,42.846680,-5.310059,0.940079,45.124674
38011,206.18,0.844727,-0.077148,-0.711670,-8.666992,39.367676,-4.516602,1.107244,40.562672
38031,221.94,0.903320,-0.156128,-0.980103,14.282227,8.666992,4.455566,1.342000,17.290194
38051,237.70,0.904053,-0.158203,-0.929565,21.118164,-15.197754,12.512207,1.306305,28.870468
38071,269.17,0.825806,-0.079102,-0.690186,4.943848,-41.198730,18.859863,1.079152,45.579288
38091,284.95,0.799927,0.075439,-0.273071,1.953125,-47.241211,17.456055,0.848612,50.400998
38111,300.71,0.802368,0.129517,-0.024536,3.723145,-42.175293,12.023926,0.813124,44.013543
38131,316.42,0.801270,0.155396,0.227539,4.882812,-22.277832,-0.244141,0.847322,22.807965
38151,348.31,0.818115,0.176147,0.324707,-9.582520,-1.586914,-8.239746,0.897650,12.737205
38171,364.02,0.980469,0.150513,0.164307,-17.395020,40.893555,-21.484375,1.005470,49.360388
38191,379.79,0.943237,0.048218,-0.039307,1.037598,72.570801,-28.198242,0.945287,77.863590
38211,395.42,0.900146,-0.108154,-0.333496,-12.573242,102.294922,-31.433105,0.966013,107.751462
38231,426.97,0.644043,-0.265381,-0.842407,-45.532227,97.106934,-27.465820,1.093100,110.712743
38251,442.78,0.761719,-0.314575,-1.207520,-38.269043,64.453125,-16.479492,1.461943,76.748281
38271,458.56,0.860229,-0.377441,-1.318726,26.855469,5.004883,5.981445,1.619103,27.965027
38291,490.03,0.821289,-0.334473,-1.088745,22.399902,-26.062012,18.676758,1.404191,39.112726
38311,505.77,0.726318,-0.182007,-0.731812,-1.831055,-53.344727,25.024414,1.047002,58.951115
38331,521.57,0.733398,0.044434,-0.217651,-8.544922,-55.725098,22.583008,0.766303,60.731330
38351,537.30,0.757202,0.134033,0.026978,-0.854492,-47.607422,16.296387,0.769446,50.326623
38371,568.85,0.830811,0.118042,0.189209,10.131836,-18.859863,3.723145,0.860221,21.730401
38391,584.62,0.978882,0.138184,0.102661,8.544922,6.652832,-4.882812,0.993903,11.879298
38411,600.35,0.992065,0.123535,-0.064941,4.394531,50.354004,-16.113281,1.001834,53.051630
38431,628.08,0.849121,-0.004761,-0.216797,-9.582520,70.495605,-19.592285,0.876373,73.792362
38451,647.14,0.807007,-0.083008,-0.409424,-24.475098,80.017090,-21.118164,0.908723,86.300301
38471,662.88,0.739990,-0.154541,-0.654175,-38.574219,72.875977,-19.226074,0.999707,84.667114
38491,681.75,0.772461,-0.171387,-0.818359,-28.869629,59.387207,-15.197754,1.138324,67.758893
38511,695.88,0.839966,-0.201294,-0.888916,-3.540039,36.743164,-8.056641,1.239449,37.782290
38531,726.23,0.824219,-0.228149,-0.866699,4.882812,22.399902,-4.089355,1.217603,23.287772
38551,742.25,0.825317,-0.214600,-0.819946,-2.929688,5.981445,-1.831055,1.183010,6.907497
38571,757.99,0.791748,-0.177612,-0.696777,-10.375977,0.488281,-1.831055,1.069537,10.547610
38591,773.97,0.789673,-0.109741,-0.625977,-10.498047,-1.708984,-2.380371,1.013643,10.899348
38611,805.40,0.812500,-0.135376,-0.543457,1.708984,-0.244141,-3.417969,0.986827,3.829196
38631,821.13,0.808350,-0.149170,-0.526733,4.455566,1.892090,-3.906250,0.976283,6.220198
38651,837.17,0.809937,-0.156006,-0.532593,-6.530762,5.004883,-3.784180,0.981830,9.056474
38671,868.68,0.796753,-0.122192,-0.534546,-13.671875,5.859375,-3.723145,0.967205,15.333436
38691,884.46,0.787598,-0.105957,-0.529419,-13.732910,5.249023,-3.784180,0.954893,15.181077
38711,900.19,0.788330,-0.084839,-0.543335,-6.164551,4.150391,-3.967285,0.961184,8.424178
38731,915.91,0.760254,-0.085449,-0.534546,0.366211,3.784180,-3.845215,0.933288,5.407384
38751,947.54,0.761597,-0.086670,-0.517822,3.356934,3.784180,-4.211426,0.925030,6.582182
38771,963.29,0.757202,-0.067505,-0.500244,-1.342773,5.249023,-5.615234,0.910031,7.802957
38791,979.10,0.786377,-0.033813,-0.495483,-5.004883,9.826660,-8.117676,0.930073,13.693384
38811,996.32,0.807251,-0.017944,-0.537354,0.549316,12.634277,-10.009766,0.969910,16.128302
38831,1027.17,0.808228,-0.008423,-0.582642,5.798340,14.404297,-12.023926,0.996380,19.638720
38851,1042.92,0.820068,-0.014404,-0.614624,2.807617,13.122559,-13.732910,1.024930,19.200966
38871,1059.09,0.835571,-0.001343,-0.607788,2.624512,11.352539,-14.221191,1.033241,18.385062
38891,1074.83,0.836914,-0.021484,-0.577271,16.967773,8.361816,-14.404297,1.016921,23.776229
38911,1107.12,0.840942,-0.077026,-0.520508,28.442383,6.652832,-14.831543,0.991991,32.759792
38931,1122.96,0.850098,-0.117432,-0.493530,30.822754,5.737305,-15.808105,0.989964,35.112035
38951,1138.66,0.899658,-0.165283,-0.470215,14.221191,7.812500,-18.615723,1.028497,24.694586
38971,1154.47,0.933716,-0.159180,-0.473267,-2.014160,11.169434,-20.507812,1.058841,23.438930
38991,1185.98,0.931274,-0.147949,-0.500732,-17.395020,14.465332,-21.301270,1.067658,31.073729
39011,1202.08,0.968628,-0.165161,-0.557373,-10.620117,15.441895,-19.958496,1.129683,27.378469
39031,1218.16,0.977905,-0.205688,-0.601929,8.972168,15.563965,-15.441895,1.166587,23.689426
39051,1233.99,0.977051,-0.304688,-0.655640,30.578613,15.136719,-11.718750,1.215453,36.076321
39071,1265.41,0.991699,-0.346191,-0.708252,25.390625,13.427734,-8.789062,1.266861,30.037235
39091,1281.20,0.999634,-0.404907,-0.756592,3.479004,10.192871,-4.272461,1.317440,11.586717
39111,1296.85,0.924316,-0.343994,-0.691895,-5.371094,5.859375,-1.159668,1.204745,8.032792
