timestamp_ms,pc_elapsed_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,accel_mag_g,gyro_mag_dps
29559,12.60,-0.394043,0.213013,0.972656,22.949219,18.432617,-15.563965,1.070843,33.296622
29579,44.74,-0.385986,0.219604,1.010498,22.888184,20.874023,-15.563965,1.103774,34.667431
29599,60.60,-0.381836,0.225220,1.018921,25.878906,24.536133,-16.113281,1.111181,39.132818
29619,76.41,-0.373657,0.248047,1.003418,25.756836,30.151367,-16.662598,1.099088,43.013506
29639,92.25,-0.380859,0.290771,1.014893,20.996094,32.714844,-17.700195,1.122323,42.712924
29659,123.77,-0.397095,0.318970,1.018433,13.183594,38.940430,-20.874023,1.138697,46.107365
29679,141.29,-0.404785,0.325317,0.990723,7.019043,42.419434,-23.803711,1.118577,49.145620
29699,155.86,-0.399170,0.319214,0.952515,8.605957,46.508789,-26.611328,1.080980,54.270551
29719,171.84,-0.405762,0.370972,0.849121,24.108887,46.569824,-32.958984,1.011568,61.937724
29739,206.22,-0.391479,0.356934,0.840698,21.911621,44.067383,-36.560059,0.993696,61.308166
29759,218.89,-0.420044,0.381714,0.865601,17.272949,40.100098,-43.518066,1.035088,61.645719
29779,241.62,-0.404297,0.371826,0.835693,14.587402,35.705566,-47.241211,1.000047,60.986980
29799,266.64,-0.383911,0.386963,0.882935,15.625000,31.311035,-54.382324,1.037642,64.668066
29819,282.36,-0.383545,0.390503,0.951050,31.127930,31.677246,-59.814453,1.097313,74.499428
29839,298.09,-0.400635,0.388428,0.940918,29.541016,30.517578,-64.331055,1.093943,77.087475
29859,314.04,-0.381836,0.339355,0.948242,19.775391,29.785156,-68.603516,1.077091,77.360610
29879,345.73,-0.355103,0.313110,0.968018,24.536133,31.127930,-70.739746,1.077587,81.086876
29899,361.49,-0.360596,0.289551,0.934082,25.695801,30.395508,-72.021484,1.042295,82.287637
29919,377.20,-0.327271,0.264404,0.871094,26.062012,30.151367,-72.021484,0.967378,82.312986
29939,396.60,-0.305786,0.268555,0.875122,22.460938,27.709961,-71.777344,0.965125,80.151873
